Copied from https://pokefarm.wiki/List_of_Pok%C3%A9mon/Variant_Pok%C3%A9mon
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Hallowe'en Witch Liepard	Type Dark.png		Hallowe'en Witch Liepard.png	Shiny Hallowe'en Witch Liepard.png	Albino Hallowe'en Witch Liepard.png	Melanistic Hallowe'en Witch Liepard.png
IMG Codes			4/d/1/0	s/c/c/e	v/2/g/6	2/m/1/p
Bubbly Frillish	Type Psychic.pngType Ghost.png	Bubbly Frillish Egg.png	Bubbly Frillish.pngFemale Bubbly Frillish.png	Shiny Bubbly Frillish.pngShiny Female Bubbly Frillish.png	Albino Bubbly Frillish.pngAlbino Female Bubbly Frillish.png	Melanistic Bubbly Frillish.pngMelanistic Female Bubbly Frillish.png
IMG Codes		y/y/8/o	x/i/u/y Female 5/1/m/a	t/1/2/d Female s/3/9/j	p/q/1/9 Female 1/e/9/u	r/q/y/2 Female 5/e/x/v
Bubbly Jellicent	Type Psychic.pngType Ghost.png		Bubbly Jellicent.pngFemale Bubbly Jellicent.png	Shiny Bubbly Jellicent.pngShiny Female Bubbly Jellicent.png	Albino Bubbly Jellicent.pngAlbino Female Bubbly Jellicent.png	Melanistic Bubbly Jellicent.pngMelanistic Female Bubbly Jellicent.png
IMG Codes			o/x/n/5 Female x/t/h/a	o/d/t/0 Female 4/q/r/y	i/p/k/r Female k/7/v/2	l/i/f/c Female j/c/x/a
Apocalyptic Golett	Type Rock.pngType Steel.png	Apocalyptic Golett Egg.png	Apocalyptic Golett.png	Shiny Apocalyptic Golett.png	Albino Apocalyptic Golett.png	Melanistic Apocalyptic Golett.png
IMG Codes		7/p/3/b	q/c/p/2	p/h/y/m	c/3/y/h	t/c/a/9
Apocalyptic Golurk	Type Rock.pngType Steel.png		Apocalyptic Golurk.png	Shiny Apocalyptic Golurk.png	Albino Apocalyptic Golurk.png	Melanistic Apocalyptic Golurk.png
IMG Codes			k/5/h/m	g/y/8/7	z/a/3/q	7/b/5/v
Glileo	Type Fire.pngType Poison.png	Glileo Egg.png	Glileo.pngFemale Glileo.png	Shiny Glileo.pngShiny Female Glileo.png	Albino Glileo.pngAlbino Female Glileo.png	Melanistic Glileo.pngMelanistic Female Glileo.png
IMG Codes		u/7/c/q	x/w/q/x Female f/x/t/e	3/j/w/h Female z/7/f/b	r/1/x/6 Female 2/k/f/g	f/1/p/b Female 7/c/3/7
Pyriscor	Type Fire.pngType Poison.png		Pyriscor.pngFemale Pyriscor.png	Shiny Pyriscor.pngShiny Female Pyriscor.png	Albino Pyriscor.pngAlbino Female Pyriscor.png	Melanistic Pyriscor.pngMelanistic Female Pyriscor.png
IMG Codes			m/7/m/v Female f/9/4/8	a/x/k/4 Female 8/r/g/z	o/u/r/q Female 8/j/1/h	b/j/7/t Female n/q/s/5
Rose Gift Honedge	Type Steel.pngType Grass.png	Rose Gift Honedge Egg.png	Rose Gift Honedge.png	Shiny Rose Gift Honedge.png	Albino Rose Gift Honedge.png	Melanistic Rose Gift Honedge.png
IMG Codes		z/6/i	1/r/8/a	/i/k/j/l	e/b/0/v	z/p/7/m
Rose Gift Doublade	Type Steel.pngType Grass.png		Rose Gift Doublade.png	Shiny Rose Gift Doublade.png	Albino Rose Gift Doublade.png	Melanistic Rose Gift Doublade.png
IMG Codes			o/d/5/y	5/i/6/1	u/0/m/n	p/v/s/b
Rose Shield Aegislash	Type Steel.pngType Grass.png		Rose Shield Aegislash.png	Shiny Rose Shield Aegislash.png	Albino Rose Shield Aegislash.png	Melanistic Rose Shield Aegislash.png
IMG Codes			z/1/0/y	d/y/l/c	z/i/3/4	2/w/q/l
Rose Bouquet Aegislash	Type Steel.pngType Grass.png		Rose Bouquet Aegislash.png	Shiny Rose Bouquet Aegislash.png	Albino Rose Bouquet Aegislash.png	Melanistic Rose Bouquet Aegislash.png
IMG Codes			h/b/6/9	b/4/3/j	l/p/k/5	i/r/t/v
Spritzkrow	Type Fairy.pngType Dark.png	Spritzkrow Egg.png	Spritzkrow.png	Shiny Spritzkrow.png	Albino Spritzkrow.png	Melanistic Spritzkrow.png
IMG Codes		m/q/c/n	w/1/x/3	i/q/x/p	s/f/j/0	u/a/r/w
Aromakrow	Type Fairy.pngType Dark.png		Aromakrow.png	Shiny Aromakrow.png	Albino Aromakrow.png	Melanistic Aromakrow.png
IMG Codes			9/r/e/6	1/b/d/1	v/m/q/g	p/z/r/3
Noismog	Type Psychic.pngType Dragon.png	Noismog Egg.png	Noismog.png	Shiny Noismog.png	Albino Noismog.png	Melanistic Noismog.png
IMG Codes		l/s/w/r	2/h/4/o	7/2/6/0	o/q/w/7	b/q/0/9
Noismoem	Type Psychic.pngType Dragon.png		Noismoem.png	Shiny Noismoem.png	Albino Noismoem.png	Melanistic Noismoem.png
IMG Codes			g/9/8/7	q/o/y/3	f/f/s/j	q/m/n/e
Solgavern	Type Steel.pngType Dragon.png		Solgavern.png	Shiny Solgavern.png	Albino Solgavern.png	Melanistic Solgavern.png
IMG Codes			1/c/i/0	h/x/j/g	q/d/c/r	t/6/e/3
Lunavern	Type Ghost.pngType Dragon.png		Lunavern.png	Shiny Lunavern.png	Albino Lunavern.png	Melanistic Lunavern.png
IMG Codes			r/u/b/2	r/8/j/o	n/l/1/i	q/a/t/q
Feral Incineroar	Type Fire.pngType Electric.png		Feral Incineroar.png	Shiny Feral Incineroar.png	Albino Feral Incineroar.png	Melanistic Feral Incineroar.png
IMG Codes			e/c/v/1	y/y/b/f	a/2/q/q	m/y/s/m
Pointe Oricorio	Type Grass.pngType Flying.png		Pointe Oricorio.png	Shiny Pointe Oricorio.png	Albino Pointe Oricorio.png	Melanistic Pointe Oricorio.png
IMG Codes			s/8/j/g	c/l/j/w	o/y/q/p	b/1/o/s
Magipede	Type Bug.pngType Psychic.png	Magipede Egg.png	Magipede.png	Shiny Magipede.png	Albino Magipede.png	Melanistic Magipede.png
IMG Codes		m/7/a/a	w/q/t/k	7/c/3/q	4/d/r/m	9/s/a/6
Mystiskorch	Type Bug.pngType Psychic.png		Mystiskorch.png	Shiny Mystiskorch.png	Albino Mystiskorch.png	Melanistic Mystiskorch.png
IMG Codes			d/j/m/e	x/l/6/6	r/w/d/4	q/h/p/s
Totems
Pokémon	Type	Normal	Shiny	Albino	Melanistic
Totem Sandslash Q	Type Ground.png	Totem Sandslash Q.png	Shiny Totem Sandslash Q.png	Albino Totem Sandslash Q.png	Melanistic Totem Sandslash Q.png
IMG Codes		b/8/r	v/i/8/g	r/m/y/g	y/4/u/a
Totem Lanturn Q	Type Water.pngType Electric.png	Totem Lanturn Q.png	Shiny Totem Lanturn Q.png	Albino Totem Lanturn Q.png	Melanistic Totem Lanturn Q.png
IMG Codes		q/s/d/d	v/r/y/e	e/9/h/q	1/1/h/q
Totem Sudowoodo Q	Type Rock.png	Totem Sudowoodo Q.pngFemale Totem Sudowoodo Q.png	Shiny Totem Sudowoodo Q.pngShiny Female Totem Sudowoodo Q.png	Albino Totem Sudowoodo Q.pngAlbino Female Totem Sudowoodo Q.png	Melanistic Totem Sudowoodo Q.pngMelanistic Female Totem Sudowoodo Q.png
IMG Codes		1/a/v/z Female c/9/l/j	z/p/k/t Female s/a/x/y	o/k/u/r Female f/u/9/o	r/z/4/8 Female j/a/l/4
Totem Donphan Q	Type Ground.png	Totem Donphan Q.pngFemale Totem Donphan Q.png	Shiny Totem Donphan Q.pngShiny Female Totem Donphan Q.png	Albino Totem Donphan Q.pngAlbino Female Totem Donphan Q.png	Melanistic Totem Donphan Q.pngMelanistic Female Totem Donphan Q.png
IMG Codes		2/l/2/c Female v/e/0/a	m/7/r/d Female s/i/8/b	i/a/x/c Female e/a/w/i	a/g/i/1 Female p/4/g/d
Totem Whiscash Q	Type Water.pngType Ground.png	Totem Whiscash Q.png	Shiny Totem Whiscash Q.png	Albino Totem Whiscash Q.png	Melanistic Totem Whiscash Q.png
IMG Codes		7/k/s/i	h/q/s/d	k/m/2/c	w/6/5/3
Totem Walrein Q	Type Ice.pngType Water.png	Totem Walrein Q.png	Shiny Totem Walrein Q.png	Albino Totem Walrein Q.png	Melanistic Totem Walrein Q.png
IMG Codes		j/o/2/a	q/4/v/7	i/h/m/j	a/n/d/i
Totem Snow Vespiquen Q	Type Bug.pngType Ice.png	Totem Snow Vespiquen Q.png	Shiny Totem Snow Vespiquen Q.png	Albino Totem Snow Vespiquen Q.png	Melanistic Totem Snow Vespiquen Q.png
IMG Codes		e/t/1/c	a/h/x/7	9/z/q/3	u/u/9/6
Totem Skuntank Q	Type Poison.pngType Dark.png	Totem Skuntank Q.png	Shiny Totem Skuntank Q.png	Albino Totem Skuntank Q.png	Melanistic Totem Skuntank Q.png
IMG Codes		l/p/v/a	s/d/7/s	8/5/1/7	g/g/t/p
Totem Spiritomb Q	Type Ghost.pngType Dark.png	Totem Spiritomb Q.png	Shiny Totem Spiritomb Q.png	Albino Totem Spiritomb Q.png	Melanistic Totem Spiritomb Q.png
IMG Codes		k/v/q/m	u/p/h/5	g/u/w/8	3/0/4/9
Totem Porygon-Z Q	Type Normal.png	Totem Porygon-Z Q.png	Shiny Totem Porygon-Z Q.png	Albino Totem Porygon-Z Q.png	Melanistic Totem Porygon-Z Q.png
IMG Codes		b/t/f/n	o/5/y/j	7/p/r/u	k/j/8/y
Totem Leavanny Q	Type Bug.pngType Grass.png	Totem Leavanny Q.png	Shiny Totem Leavanny Q.png	Albino Totem Leavanny Q.png	Melanistic Totem Leavanny Q.png
IMG Codes		d/q/s/y	p/g/s/w	1/p/n/a	2/j/f/s
Totem Maractus Q	Type Grass.png	Totem Maractus Q.png	Shiny Totem Maractus Q.png	Albino Totem Maractus Q.png	Melanistic Totem Maractus Q.png
IMG Codes		g/k/d/5	f/b/g	e/m/5/h	i/q/z/5
Totem Galvantula Q	Type Bug.pngType Electric.png	Totem Galvantula Q.png	Shiny Totem Galvantula Q.png	Albino Totem Galvantula Q.png	Melanistic Totem Galvantula Q.png
IMG Codes		s/h/t/g	t/m/1/7	6/7/e/k	k/l/n/2
Totem Braviary Q	Type Normal.pngType Flying.png	Totem Braviary Q.png	Shiny Totem Braviary Q.png	Albino Totem Braviary Q.png	Melanistic Totem Braviary Q.png
IMG Codes		3/8/c/4	8/k/h/g	o/c/q/q	o/b/8/y
Totem Mandibuzz Q	Type Dark.pngType Flying.png	Totem Mandibuzz Q.png	Shiny Totem Mandibuzz Q.png	Albino Totem Mandibuzz Q.png	Melanistic Totem Mandibuzz Q.png
IMG Codes		v/w/3/j	y/t/o/w	t/7/2/l	o/1/t/t
Totem Talonflame Q	Type Fire.pngType Flying.png	Totem Talonflame Q.png	Shiny Totem Talonflame Q.png	Albino Totem Talonflame Q.png	Melanistic Totem Talonflame Q.png
IMG Codes		e/m/y/s	d/8/t/m	a/e/o/p	f/h/q/q
Totem Trevenant Q	Type Ghost.pngType Grass.png	Totem Trevenant Q.png	Shiny Totem Trevenant Q.png	Albino Totem Trevenant Q.png	Melanistic Totem Trevenant Q.png
IMG Codes		g/g/9/0	q/b/r/q	y/v/s/8	n/3/2/a
Totem Eucylph Q	Type Grass.pngType Fairy.png	Totem Eucylph Q.png	Shiny Totem Eucylph Q.png	Albino Totem Eucylph Q.png	Melanistic Totem Eucylph Q.png
IMG Codes		8/u/p/z	o/k/s/7	e/4/f/w	z/2/c/n
