Copied from https://pokefarm.wiki/List_of_Pok%C3%A9mon/Exclusive_Pok%C3%A9mon
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
IMG Codes			6/l/6/7	o/1/c/n	g/k/1/9	7/i/h/i
Caimaw	Type Steel.png	Caimaw Egg.png	Caimaw.png	Shiny Caimaw.png	Albino Caimaw.png	Melanistic Caimaw.png
IMG Codes		4/j/0/7	2/5/n/8	f/f/m/h	o/o/n/6	f/0/z/b
Caimangle	Type Steel.png		Caimangle.png	Shiny Caimangle.png	Albino Caimangle.png	Melanistic Caimangle.png
IMG Codes			j/p/l/l	k/t/k/0	s/e/o/h	n/7/j/0
Valimp	Type Fairy.pngType Dark.png	Valimp Egg.png	Valimp.png	Shiny Valimp.png	Albino Valimp.png	Melanistic Valimp.png
IMG Codes		x/9/s/x	v/v/r/e	4/h/e/c	l/b/x/p	r/8/1/y
Valladox	Type Fairy.pngType Dark.png		Valladox.png	Shiny Valladox.png	Albino Valladox.png	Melanistic Valladox.png
IMG Codes			t/2/e/l	y/g/e/3	k/b/e/y	b/q/t/3
Valenoir	Type Fairy.pngType Dark.png		Valenoir.png	Shiny Valenoir.png	Albino Valenoir.png	Melanistic Valenoir.png
IMG Codes			b/u/5/0	g/f/a/k	6/m/r/d	a/b/1/x
Frusky	Type Ice.png	Frusky Egg.png	Frusky.png	Shiny Frusky.png	Albino Frusky.png	Melanistic Frusky.png
IMG Codes		7/y/w/1	7/d/e/f	d/7/x/b	j/d/6/d	x/d/5/z
Glacifur	Type Ice.png		Glacifur.png	Shiny Glacifur.png	Albino Glacifur.png	Melanistic Glacifur.png
IMG Codes			s/n/5/w	b/6/8/l	p/x/u/r	u/e/u/w
Skyrie	Type Flying.png	Skyrie Egg.png	Skyrie.png	Shiny Skyrie.png	Albino Skyrie.png	Melanistic Skyrie.png
IMG Codes		9/i/2/3	6/w/3/d	2/t/m/d	a/3/o/f	c/h/g/t
Grymphony	Type Flying.png		Grymphony.png	Shiny Grymphony.png	Albino Grymphony.png	Melanistic Grymphony.png
IMG Codes			y/t/7/t	o/1/q/g	j/w/z/b	k/u/w/a
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Shinorin	Type Dragon.pngType Fighting.png	Shinorin Egg.png	Shinorin.png	Shiny Shinorin.png	Albino Shinorin.png	Melanistic Shinorin.png
IMG Codes		8/4/r/5	4/a/z/9	z/m/4/1	o/5/r/7	k/d/j
Incandescent Forme Shinorin	Type Dragon.pngType Fire.png		Incandescent Forme Shinorin.png	Shiny Incandescent Forme Shinorin.png	Albino Incandescent Forme Shinorin.png	Melanistic Incandescent Forme Shinorin.png
IMG Codes			9/h/2/2	h/q/r/c	x/7/i/v	t/n/u/2
Sikannos	Type Normal.pngType Fire.png	Sikannos Egg.png	Sikannos.png	Shiny Sikannos.png	Albino Sikannos.png	Melanistic Sikannos.png
IMG Codes		b/0/3/n	e/u/8/e	p/7/8/z	a/8/0/9	v/h/2/5
Unfettered Forme Sikannos	Type Ghost.pngType Fire.png		Unfettered Forme Sikannos.png	Shiny Unfettered Forme Sikannos.png	Albino Unfettered Forme Sikannos.png	Melanistic Unfettered Forme Sikannos.png
IMG Codes			f/7/f/f	j/y/s/u	w/v/v/4	h/t/2/5
Goschief	Type Fairy.png	Goschief Egg.png	Goschief.png	Shiny Goschief.png	Albino Goschief.png	Melanistic Goschief.png
IMG Codes		7/d/z/n	k/9/9/5	v/l/a/3	f/n/r/t	7/s/m/s
Havonk	Type Fairy.pngType Dark.png		Havonk.png	Shiny Havonk.png	Albino Havonk.png	Melanistic Havonk.png
IMG Codes			d/n/5/f	e/g/a/u	i/q/g/j	w/j/m/d
Mocknock	Type Ghost.pngType Steel.png	Mocknock Egg.png	Mocknock.png	Shiny Mocknock.png	Albino Mocknock.png	Melanistic Mocknock.png
IMG Codes		d/w/m/k	d/4/2/g	b/5/x/i	z/1/h/v	1/i/m/q
Portalgeist	Type Ghost.pngType Steel.png		Portalgeist.png	Shiny Portalgeist.png	Albino Portalgeist.png	Melanistic Portalgeist.png
IMG Codes			r/h/s/g	a/n/0/o	9/0/8/w	4/w/o/w
Boreal Forme Flurrawr	Type Ice.png	Flurrawr Egg.png	Boreal Forme Flurrawr.png	Shiny Boreal Forme Flurrawr.png	Albino Boreal Forme Flurrawr.png	Melanistic Boreal Forme Flurrawr.png
IMG Codes		x/o/u/n	h/j/f/m	v/e/h/t	m/2/a/0	1/0/6/r
Austral Forme Flurrawr	Type Ice.png	Flurrawr Egg.png	Austral Forme Flurrawr.png	Shiny Austral Forme Flurrawr.png	Albino Austral Forme Flurrawr.png	Melanistic Austral Forme Flurrawr.png
IMG Codes		x/o/u/n	u/5/b/o	d/a/6/l	u/o/8/i	w/5/g/w
Boreal Forme Tundrasail	Type Ice.pngType Ground.png		Boreal Forme Tundrasail.png	Shiny Boreal Forme Tundrasail.png	Albino Boreal Forme Tundrasail.png	Melanistic Boreal Forme Tundrasail.png
IMG Codes			c/7/5/o	3/i/j/h	x/k/u/a	j/7/t/q
Austral Forme Tundrasail	Type Ice.pngType Ground.png		Austral Forme Tundrasail.png	Shiny Austral Forme Tundrasail.png	Albino Austral Forme Tundrasail.png	Melanistic Austral Forme Tundrasail.png
IMG Codes			5/f/g/w	x/y/0/k	p/a/a/7	q/d/n/6
Parapod	Type Grass.png	Parapod Egg.png	Parapod.png	Shiny Parapod.png	Albino Parapod.png	Melanistic Parapod.png
IMG Codes		5/t/9/h	h/r/c/h	z/0/c/y	l/t/o/l	b/c/z/t
Craysprout	Type Grass.png		Craysprout.png	Shiny Craysprout.png	Albino Craysprout.png	Melanistic Craysprout.png
IMG Codes			h/x/6/s	2/c/y/e	8/z/p/7	p/j/k/g
Strelitzgon	Type Grass.pngType Dragon.png		Strelitzgon.png	Shiny Strelitzgon.png	Albino Strelitzgon.png	Melanistic Strelitzgon.png
IMG Codes			3/e/6/a	g/n/q/s	y/9/6/9	k/j/z/k
Caprikid	Type Fighting.png	Caprikid	Caprikid.png	Shiny Caprikid.png	Albino Caprikid.png	Melanistic Caprikid.png
IMG Codes		f/1/i/n	h/8/g/s	i/t/l/4	8/v/9/3	v/r/6/6
Saytaries	Type Fighting.pngType Steel.png		Saytaries.png	Shiny Saytaries.png	Albino Saytaries.png	Melanistic Saytaries.png
IMG Codes			4/7/q/p	1/c/3/5	v/r/m/3	c/p/e/7
Taurminos	Type Fighting.pngType Dark.png		Taurminos.png	Shiny Taurminos.png	Albino Taurminos.png	Melanistic Taurminos.png
IMG Codes			h/l/w/l	n/6/m/1	m/p/t/j	z/m/p/y
Sagidamas	Type Fighting.pngType Fairy.png		Sagidamas.png	Shiny Sagidamas.png	Albino Sagidamas.png	Melanistic Sagidamas.png
IMG Codes			7/e/v/a	o/j/i/j	u/e/4/s	7/2/s/z
Tenrekki	Type Electric.pngType Ground.png	Tenrekki Egg.png	Tenrekki.png	Shiny Tenrekki.png	Albino Tenrekki.png	Melanistic Tenrekki.png
IMG Codes		1/1/t/2	m/s/h/x	q/g/4/0	g/1/5/w	d/y/g/9
Possmol	Type Normal.png	Possmol Egg.png	Possmol.png	Shiny Possmol.png	Albino Possmol.png	Melanistic Possmol.png
IMG Codes		c/p/b/b	t/o/c	e/c/p/o	d/1/9/o	n/w/g/3
Opposham	Type Normal.pngType Poison.png		Opposham.png	Shiny Opposham.png	Albino Opposham.png	Melanistic Opposham.png
IMG Codes			4/l/d/z	u/n/u/5	x/j/w/a	m/4/g/9
Opposkull	Type Ghost.pngType Poison.png		Opposkull.png	Shiny Opposkull.png	Albino Opposkull.png	Melanistic Opposkull.png
IMG Codes			r/0/3/y	d/p/6/6	5/a/n/o	o/q/n/5
Pokémon
Type	Egg	Normal	Shiny	Albino	Melanistic
Lunamor	Type Fairy.png	Lunamor Egg.png	Lunamor.png	Shiny Lunamor.png	Albino Lunamor.png	Melanistic Lunamor.png
IMG Codes		g/k/o/9	2/7/p/t	h/1/n/d	k/x/e/7	t/r/2/4
Astrolochi	Type Fairy.pngType Rock.png		Astrolochi.png	Shiny Astrolochi.png	Albino Astrolochi.png	Melanistic Astrolochi.png
IMG Codes			s/h/9/e	4/x/r/s	e/2/4/u	a/i/b/7
Exilant	Type Steel.pngType Ghost.png	Exilant Egg.png	Exilant.png	Shiny Exilant.png	Albino Exilant.png	Melanistic Exilant.png
IMG Codes		g/a/u/4	t/x/u/x	u/w/8/7	d/n/l/h	q/8/b/h
Scorupt	Type Steel.pngType Ghost.png		Scorupt.png	Shiny Scorupt.png	Albino Scorupt.png	Melanistic Scorupt.png
IMG Codes			w/1/s/8	t/a/x/q	o/o/a/p	8/h/x/o
Lyruse	Type Steel.pngType Fairy.png	Lyruse Egg.png	Lyruse.png	Shiny Lyruse.png	Albino Lyruse.png	Melanistic Lyruse.png
IMG Codes		h/y/p/k	1/w/0/n	9/a/y/6	7/a/5/6	c/d/g/h
Musharp	Type Steel.pngType Fairy.png		Musharp.png	Shiny Musharp.png	Albino Musharp.png	Melanistic Musharp.png
IMG Codes			s/n/e/j	f/3/u/6	9/g/a/4	8/f/g/6
Smokackle	Type Fire.pngType Normal.png	Smokackle Egg.png	Smokackle.png	Shiny Smokackle.png	Albino Smokackle.png	Melanistic Smokackle.png
IMG Codes		h/4/9/a	n/g/o/0	7/s/v/d	t/e/4/u	8/5/h/k
Hycano	Type Fire.pngType Rock.png		Hycano.png	Shiny Hycano.png	Albino Hycano.png	Melanistic Hycano.png
IMG Codes			b/w/b/m	u/d/0/a	o/v/e/d	7/v/x/t
Inferial	Type Dragon.png	Inferial Egg.png	Inferial.png	Shiny Inferial.png	Albino Inferial.png	Melanistic Inferial.png
IMG Codes		a/3/a/u	7/o/2/r	s/s/b/8	c/h/6/0	j/h/e/v
Gargodyle	Type Dragon.pngType Flying.png		Gargodyle.png	Shiny Gargodyle.png	Albino Gargodyle.png	Melanistic Gargodyle.png
IMG Codes			z/u/v/8	3/z/d/3	n/v/c/o	z/4/0/r
Mirrasma	Type Ghost.pngType Dragon.png	Mirrasma Egg.png	Mirrasma.png	Shiny Mirrasma.png	Albino Mirrasma.png	Melanistic Mirrasma.png
IMG Codes		r/i/2/z	9/v/r/p	9/v/h/y	p/6/h/l	y/p/p/5
Mirrarch	Type Ghost.pngType Dragon.png		Mirrarch.png	Shiny Mirrarch.png	Albino Mirrarch.png	Melanistic Mirrarch.png
IMG Codes			p/x/8	9/r/9/q	g/q/z/9	g/r/0/o
Slithugi	Type Ghost.pngType Ground.png	Slithugi Egg.png	Slithugi.png	Shiny Slithugi.png	Albino Slithugi.png	Melanistic Slithugi.png
IMG Codes		z/e/9/7	x/k/u/z	t/w/7/s	n/e/y/0	b/2/7/r
Sugikobra	Type Ghost.pngType Ground.png		Sugikobra.png	Shiny Sugikobra.png	Albino Sugikobra.png	Melanistic Sugikobra.png
IMG Codes			2/1/2/m	m/d/y/b	6/s/f/3	n/k/m/h
Babaisy	Type Grass.pngType Water.png	Babaisy Egg.png	Babaisy.png	Shiny Babaisy.png	Albino Babaisy.png	Melanistic Babaisy.png
IMG Codes		q/2/t/a	q/x/y/7	x/5/t/0	c/b/7/1	1/u/2/b
Chamobelle (Foraged Forme)	Type Grass.pngType Water.png		Chamobelle Foraged Forme.png	Shiny Chamobelle Foraged Forme.png	Albino Chamobelle Foraged Forme.png	Melanistic Chamobelle Foraged Forme.png
IMG Codes			9/p/y/d	r/g/o/h	3/r/o/k	r/v/y/8
Chamobelle (Elegant Forme)	Type Water.pngType Fire.png		Chamobelle Elegant Forme.png	Shiny Chamobelle Elegant Forme.png	Albino Chamobelle Elegant Forme.png	Melanistic Chamobelle Elegant Forme.png
IMG Codes			a/g/5/v	g/2/0/8	l/2/x/r	a/8/c/9
Ryumen	Type Water.pngType Dragon.png	Ryumen Egg.png	Ryumen.png	Shiny Ryumen.png	Albino Ryumen.png	Melanistic Ryumen.png
IMG Codes		u/i/2/l	m/v/v/0	a/c/p/l	e/f/p/w	b/t/a/y
Ryudon	Type Water.pngType Dragon.png		Ryudon.png	Shiny Ryudon.png	Albino Ryudon.png	Melanistic Ryudon.png
IMG Codes			b/c/0/5	7/i/i/w	d/8/9/o	n/j/5/h
Schweepy	Type Normal.pngType Grass.png	Schweepy Egg.png	Schweepy.png	Shiny Schweepy.png	Albino Schweepy.png	Melanistic Schweepy.png
IMG Codes		8/h/j/e	5/7/v/2	r/2/u/1	e/p/4/z	m/x/y/0
Schwoomstick	Type Normal.pngType Grass.png		Schwoomstick.png	Shiny Schwoomstick.png	Albino Schwoomstick.png	File:Melanistic Schwoomstick.png
IMG Codes			x/u/q/n	r/e/e/z	l/l/h/l	
Cinnamoru	Type Ground.png	Cinnamoru Egg.png	Cinnamoru.png	Shiny Cinnamoru.png	Albino Cinnamoru.png	Melanistic Cinnamoru.png
IMG Codes		n/w/2/s	y/n/l/f	i/e/v/h	7/3/g/t	t/h/3/i
Croissaca	Type Ground.pngType Poison.png		Croissaca.png	Shiny Croissaca.png	Albino Croissaca.png	Melanistic Croissaca.png
IMG Codes			3/8/6/u	a/h/f/x	k/i/4/3	2/j/q/8
Quokuddle	Type Normal.png	Quokuddle Egg.png	Quokuddle.png	Shiny Quokuddle.png	Albino Quokuddle.png	File:Melanistic Quokuddle.png
IMG Codes		5/l/1/5	h/d/m/g	x/m/c/a	y/7/u/w	
Chark	Type Water.pngType Fire.png	Chark Egg.png	Chark.png	Shiny Chark.png	Albino Chark.png	Melanistic Chark.png
IMG Codes		x/x/y/6	p/v/c/2	n/5/g/6	m/5/z/h	d/c/3/r
Sharkoal	Type Water.pngType Fire.png		Sharkoal.png	Shiny Sharkoal.png	Albino Sharkoal.png	File:Melanistic Sharkoal.png
IMG Codes			q/s/p/1	6/k/t/2	v/q/x/d	
Dribbit	Type Water.pngType Poison.png	Dribbit Egg.png	Dribbit.png	Shiny Dribbit.png	Albino Dribbit.png	Melanistic Dribbit.png
IMG Codes		e/7/f/o	r/3/o/5	r/0/6/k	o/h/t/o	1/q/j/q
Frungus	Type Water.pngType Poison.png		Frungus.png	Shiny Frungus.png	Albino Frungus.png	Melanistic Frungus.png
IMG Codes			z/6/0/q	9/b/1/d	z/t/1/c	9/h/w/d
Frogayaga	Type Water.pngType Psychic.png		Frogayaga.png	Shiny Frogayaga.png	Albino Frogayaga.png	Melanistic Frogayaga.png
IMG Codes			e/a/s/t	m/j/9/9	9/0/2/c	g/c/j/h
Seistatic	Type Electric.pngType Ground.png	Seistatic Egg.png	Seistatic.png	Shiny Seistatic.png	Albino Seistatic.png	File:Melanistic Seistatic.png
IMG Codes		w/n/i/z	1/k/p/c	n/j/m/8	x/s/5/o	
Voltaida	Type Electric.pngType Ground.png		Voltaida.png	Shiny Voltaida.png	Albino Voltaida.png	File:Melanistic Voltaida.png
IMG Codes			9/e/3/g	q/o/d/r	o/d/z/i	
Trim
Type	Egg	Normal	Shiny	Albino	Melanistic
Natural	Type Normal.png	Pasovan Egg.png	Natural Pasovan.png	Shiny Natural Pasovan.png	Albino Natural Pasovan.png	Melanistic Natural Pasovan.png
IMG Codes		b/c/5/f	b/c/a/r	g/c/1/a	c/l/v/2	1/l/p/r
Pattern
Type	Egg	Normal	Shiny	Albino	Melanistic
Aggro	Type Bug.pngType Poison.png	Maravol Egg.png	Aggro Maravol.png	Shiny Aggro Maravol.png	Albino Aggro Maravol.png	Melanistic Aggro Maravol.png
IMG Codes		t/r/y/w	6/g/g/n	p/8/o/6	j/6/l/1	y/s/k/k
Astral	Type Bug.pngType Poison.png	Maravol Egg.png	Astral Maravol.png	Shiny Astral Maravol.png	Albino Astral Maravol.png	Melanistic Astral Maravol.png
IMG Codes		t/r/y/w	2/c/g/s	z/2/n/j	1/d/f/7	l/2/f/j
Beast	Type Bug.pngType Poison.png	Maravol Egg.png	Beast Maravol.png	Shiny Beast Maravol.png	Albino Beast Maravol.png	Melanistic Beast Maravol.png
IMG Codes		t/r/y/w	1/y/n/0	4/6/j/h	b/l/9/g	r/2/v/i
Clone	Type Bug.pngType Poison.png	Maravol Egg.png	Clone Maravol.png	Shiny Clone Maravol.png	Albino Clone Maravol.png	Melanistic Clone Maravol.png
IMG Codes		t/r/y/w	u/o/u	s/y/2/i	s/c/q/t	1/g/8/y
Crystal	Type Bug.pngType Poison.png	Maravol Egg.png	Crystal Maravol.png	Shiny Crystal Maravol.png	Albino Crystal Maravol.png	Melanistic Crystal Maravol.png
IMG Codes		t/r/y/w	7/1/i/g	l/v/a/b	/i/j/a/l	v/j/3/f
Dream	Type Bug.pngType Poison.png	Maravol Egg.png	Dream Maravol.png	Shiny Dream Maravol.png	Albino Dream Maravol.png	Melanistic Dream Maravol.png
IMG Codes		t/r/y/w	9/v/0/7	r/n/8/i	9/m/w/k	
Flutter	Type Bug.pngType Poison.png	Maravol Egg.png	Flutter Maravol.png	Shiny Flutter Maravol.png	Albino Flutter Maravol.png	Melanistic Flutter Maravol.png
IMG Codes		t/r/y/w	t/l/s/v	m/t/j/g	j/4/m/u	u/1/n/a
Mimic	Type Bug.pngType Poison.png	Maravol Egg.png	Mimic Maravol.png	Shiny Mimic Maravol.png	Albino Mimic Maravol.png	Melanistic Mimic Maravol.png
IMG Codes		t/r/y/w	2/0/5/8	b/k/z/g	r/b/3/i	e/l/0/f
Moon	Type Bug.pngType Poison.png	Maravol Egg.png	Moon Maravol.png	Shiny Moon Maravol.png	Albino Moon Maravol.png	Melanistic Moon Maravol.png
IMG Codes		t/r/y/w	9/d/o/j	h/d/y/6	d/9/v/f	2/9/5/6
Pester	Type Bug.pngType Poison.png	Maravol Egg.png	Pester Maravol.png	Shiny Pester Maravol.png	Albino Pester Maravol.png	Melanistic Pester Maravol.png
IMG Codes		t/r/y/w	j/n/h/y	6/9/7/m	l/f/v/o	i/h/4/p
Petal	Type Bug.pngType Poison.png	Maravol Egg.png	Petal Maravol.png	Shiny Petal Maravol.png	Albino Petal Maravol.png	Melanistic Petal Maravol.png
IMG Codes		t/r/y/w	n/7/8/r	3/l/2/4	6/j/l/6	9/q/5/s
Prism	Type Bug.pngType Poison.png	Maravol Egg.png	Prism Maravol.png	Shiny Prism Maravol.png	Albino Prism Maravol.png	Melanistic Prism Maravol.png
IMG Codes		t/r/y/w	s/j/r/4	8/w/b/i	x/7/r/u	g/6/e/x
Quick	Type Bug.pngType Poison.png	Maravol Egg.png	Quick Maravol.png	Shiny Quick Maravol.png	Albino Quick Maravol.png	Melanistic Quick Maravol.png
IMG Codes		t/r/y/w	h/i	8/s/0/a	l/6/3/p	8/v/w/t
Repeat	Type Bug.pngType Poison.png	Maravol Egg.png	Repeat Maravol.png	Shiny Repeat Maravol.png	Albino Repeat Maravol.png	Melanistic Repeat Maravol.png
IMG Codes		t/r/y/w	e/s/d/r	x/l/c/w	z/0/d/5	4/n/0/4
Robinsoni	Type Bug.pngType Poison.png	Maravol Egg.png	Robinsoni Maravol.png	Shiny Robinsoni Maravol.png	Albino Robinsoni Maravol.png	Melanistic Robinsoni Maravol.png
IMG Codes		t/r/y/w	x/0/l/b	q/b/5/a	g/x/9/u	o/s/z/6
Sarahae	Type Bug.pngType Poison.png	Maravol Egg.png	Sarahae Maravol.png	Shiny Sarahae Maravol.png	Albino Sarahae Maravol.png	Melanistic Sarahae Maravol.png
IMG Codes		t/r/y/w	q/x/7/i	i/j/u/e	d/2/o/f	s/y/s/8
Skelotorus	Type Bug.pngType Poison.png	Maravol Egg.png	Skelotorus Maravol.png	Shiny Skelotorus Maravol.png	Albino Skelotorus Maravol.png	Melanistic Skelotorus Maravol.png
IMG Codes		t/r/y/w	d/3/l/2	l/y/j/x	c/m/z/9	b/c/y/p
Sparklemuffin	Type Bug.pngType Poison.png	Maravol Egg.png	Sparklemuffin Maravol.png	Shiny Sparklemuffin Maravol.png	Albino Sparklemuffin Maravol.png	Melanistic Sparklemuffin Maravol.png
IMG Codes		t/r/y/w	v/m/1/j	t/p/h/o	z/p/2/4	4/a/s/c
Spirit	Type Bug.pngType Poison.png	Maravol Egg.png	Spirit Maravol.png	Shiny Spirit Maravol.png	Albino Spirit Maravol.png	Melanistic Spirit Maravol.png
IMG Codes		t/r/y/w	b/x/7/r	b/q/j/m	x/s/k/6	d/9/9/q
Spooky	Type Bug.pngType Poison.png	Maravol Egg.png	Spooky Maravol.png	Shiny Spooky Maravol.png	Albino Spooky Maravol.png	Melanistic Spooky Maravol.png
IMG Codes		t/r/y/w	9/5/a/9	j/p/h/l	d/e/8/m	r/j/c/f
Vibrant	Type Bug.pngType Poison.png	Maravol Egg.png	Vibrant Maravol.png	Shiny Vibrant Maravol.png	Albino Vibrant Maravol.png	Melanistic Vibrant Maravol.png
IMG Codes		t/r/y/w	h/m/f/1	w/i/r/b	7/f/o/i	i/r/h/x
